Student,LPIPS,SSIM
112590059.png,0.0,1.0
112590003.png,0.24536660313606262,0.777900098294953
112590036.png,0.25526630878448486,0.7806446927989837
112590041.png,0.26154834032058716,0.7623581402846389
112590038.png,0.2692461609840393,0.7604159912606284
112590017.png,0.2732406258583069,0.7385428202932415
112590056.png,0.27398771047592163,0.7828831492789573
112590007.png,0.27690616250038147,0.7590840014553261
112590060.png,0.2853519320487976,0.7811229226036192
112590029.png,0.29057085514068604,0.7639298921480583
112590012.png,0.2929385304450989,0.7688067219021651
112590004.png,0.2990563213825226,0.7467602302673627
112590013.png,0.30063697695732117,0.7724792676984045
111332012.png,0.33011069893836975,0.6861012302195367
112590009.png,0.3320159614086151,0.6910599978093922
112590044.png,0.33845624327659607,0.7111086293890332
109810011.png,0.3390865921974182,0.7146421516611684
112590014.png,0.3400840759277344,0.720445427144656
112590033.png,0.35119253396987915,0.7502258883454717
110590456.png,0.36870455741882324,0.6818989556434745
112590023.png,0.3770851492881775,0.7362637535747468
110590041.png,0.3782477080821991,0.6955975655496657
113378043.png,0.38283807039260864,0.6785088697728984
112590022.png,0.38750648498535156,0.6461851963836295
112590057.png,0.40269625186920166,0.6346566641524187
112590005.png,0.4149356782436371,0.6723895172826054
112590030.png,0.4150565564632416,0.6500532944496822
112590026.png,0.41794705390930176,0.6611915222996498
112590020.png,0.43138980865478516,0.6525094051001441
112590035.png,0.4353123903274536,0.6586672243970852
112590021.png,0.4409102201461792,0.6266179839290633
110820009.png,0.44786784052848816,0.6550833121860136
112590052.png,0.45858272910118103,0.5855591699405068
112ab0053.png,0.4609152674674988,0.731640679404844
111820017.jpg,0.4693273603916168,0.6882111120182759
112590031.png,0.4878988265991211,0.57196410614838
112590053.png,0.5099111795425415,0.5497040561414894
112590051.png,0.5165022015571594,0.5617411373525966
112590024.png,0.5379770994186401,0.5696980410875865
112590018.png,0.564177393913269,0.49385155520879803
